date,club_league_impr7,club_league_clicks7,wc_country_impr7,wc_country_clicks7
2026-08-23,298,2,211,0
2026-08-24,318,2,183,0
2026-08-25,329,2,190,0
2026-08-26,324,1,188,0
2026-08-28,304,2,156,0
2026-08-28,354,2,189,0
2026-08-29,360,2,196,1
2026-08-30,330,2,207,1
2026-08-31,320,2,213,1
2026-09-01,305,3,221,1
2026-09-02,284,2,215,1
2026-09-03,354,3,219,1
2026-09-04,417,3,219,0
2026-09-05,468,3,213,0
2026-09-06,489,3,179,0
2026-09-07,514,2,162,0
2026-09-08,512,3,175,0
2026-09-09,392,2,138,0
2026-09-10,347,1,163,0
2026-09-11,271,1,163,1
2026-09-12,242,1,162,2
2026-09-13,203,1,192,2
2026-09-14,211,0,203,3
2026-09-15,220,0,242,3
2026-09-16,221,0,239,3
2026-09-17,233,0,244,2
2026-09-18,261,0,268,1
2026-09-19,263,0,236,1
2026-09-20,240,0,238,0
2026-09-21,218,0,203,0
