date,clicks7,impr7,ctr7,pos7,indexed,ga_users28,ga_sessions28,ga_engage28
2026-07-12,13,1582,0.0082,11.0,0,,,
2026-07-12,13,1582,0.0082,11.0,0,84,98,0.30612244897959184
2026-07-12,13,1582,0.0082,11.0,0,88,103,0.29126213592233008
2026-07-13,11,1503,0.0073,11.1,0,92,109,0.32110091743119268
2026-07-14,11,1319,0.0083,11.7,0,98,119,0.31092436974789917
2026-07-15,9,1040,0.0087,12.9,0,102,126,0.31746031746031744
2026-07-16,11,925,0.0119,13.4,0,106,130,0.33076923076923076
2026-07-17,10,777,0.0129,14.5,0,107,131,0.33587786259541985
2026-07-18,6,725,0.0083,16.5,0,110,134,0.32835820895522388
2026-07-19,5,611,0.0082,18.8,0,113,138,0.33333333333333331
2026-07-20,6,578,0.0104,19.8,0,116,142,0.34507042253521125
2026-07-21,6,540,0.0111,19.3,0,117,144,0.35416666666666669
2026-07-22,3,450,0.0067,21.0,0,119,147,0.35374149659863946
2026-07-23,2,422,0.0047,22.5,0,123,152,0.34210526315789475
2026-07-24,2,391,0.0051,21.7,0,125,154,0.33766233766233766
2026-07-25,2,352,0.0057,21.7,0,126,159,0.33962264150943394
2026-07-26,1,312,0.0032,21.7,0,130,165,0.33939393939393941
2026-07-27,0,297,0.0,20.8,0,128,159,0.32075471698113206
2026-07-28,2,326,0.0061,21.1,0,119,149,0.34228187919463088
2026-07-29,5,328,0.0152,20.7,0,111,144,0.35416666666666669
2026-07-30,5,344,0.0145,20.2,0,104,135,0.34814814814814815
2026-07-31,5,418,0.012,21.4,0,103,134,0.35074626865671643
2026-08-01,6,512,0.0117,20.2,0,98,129,0.35658914728682173
2026-08-02,6,561,0.0107,20.9,0,95,126,0.36507936507936506
2026-08-03,7,632,0.0111,19.0,0,100,128,0.3359375
2026-08-04,5,736,0.0068,19.5,0,95,123,0.36585365853658536
2026-08-05,6,803,0.0075,18.5,0,94,120,0.38333333333333336
2026-08-07,5,690,0.0072,17.4,0,95,120,0.38333333333333336
2026-08-07,5,848,0.0059,17.0,0,91,116,0.40517241379310343
2026-08-08,5,900,0.0056,15.9,0,85,110,0.4
2026-08-09,2,917,0.0022,15.4,0,84,108,0.3611111111111111
2026-08-10,1,891,0.0011,14.1,0,81,103,0.36893203883495146
2026-08-11,0,922,0.0,15.3,0,76,95,0.38947368421052631
2026-08-12,0,881,0.0,16.2,0,72,88,0.38636363636363635
2026-08-13,0,902,0.0,16.4,0,70,86,0.38372093023255816
2026-08-14,1,891,0.0011,16.6,0,69,85,0.38823529411764707
2026-08-15,1,887,0.0011,19.5,0,67,82,0.37804878048780488
2026-08-16,1,858,0.0012,21.0,0,67,81,0.345679012345679
2026-08-17,2,786,0.0025,20.0,0,64,77,0.33766233766233766
2026-08-18,2,803,0.0025,19.9,0,66,79,0.31645569620253167
2026-08-19,2,725,0.0028,22.0,0,67,79,0.34177215189873417
2026-08-20,3,672,0.0045,23.5,0,67,78,0.34615384615384615
2026-08-21,3,605,0.005,22.4,0,65,76,0.34210526315789475
2026-08-22,3,578,0.0052,20.9,0,73,81,0.2839506172839506
2026-08-23,3,597,0.005,22.2,0,68,75,0.32
2026-08-24,3,603,0.005,20.8,0,66,73,0.30136986301369861
2026-08-25,3,634,0.0047,17.8,0,68,75,0.30666666666666664
2026-08-26,1,625,0.0016,17.8,0,72,79,0.29113924050632911
